# https://www.data.go.kr/data/15013205/standard.do
가능역:佳陵驛
가락시장역:可樂市場驛
가산디지털단지역:加山디지털團地驛
가야역:伽倻驛
가야대역:加耶大驛
가재울역:가재울驛
가정역:佳亭驛
가정중앙시장역:佳亭中央市場驛
가좌역:加佐驛
가천대역:嘉泉大驛
가평역:加平驛
각산역:角山驛
간석역:間石驛
간석오거리역:間石五거리驛
갈마역:葛馬驛
갈매역:葛梅驛
갈산역:葛山驛
감삼역:甘三驛
감전역:甘田驛
갑천역:甲川驛
강남역:江南驛
강남구청역:江南區廳驛
강남대역:江南大驛
강동역:江東驛
강동구청역:江東區廳驛
강매역:江梅驛
강변역:江邊驛
강서구청역:江西區廳驛
강창역:江倉驛
강촌역:江村驛
개금역:開琴驛
개롱역:開籠驛
개봉역:開峯驛
개포동역:開浦洞驛
개화산역:開花山驛
거여역:巨余驛
거제역:巨堤驛
거제해맞이역:巨堤해맞이驛
건대입구역:建大入口驛
건들바위역:건들바위驛
걸포북변역:傑浦北邊驛
검단사거리역:黔丹四거리驛
검단오류역:黔丹梧柳驛
검바위역:黔바위驛
검암역:黔岩驛
경기광주역:京畿廣州驛
경기도청북부청사역:京畿道廳北部廳舍驛
경대병원역:慶大病院驛
경마공원역:競馬公園驛
경복궁역:景福宮驛
경성대부경대역:慶星大釜慶大驛
경인교대입구역:京仁敎大入口驛
경전철의정부역:輕電鐵議政府驛
경찰병원역:警察病院驛
계명대역:啓明大驛
계산역:桂山驛
계양역:桂陽驛
고덕역:高德驛
고려대역:高麗大驛
고산역:孤山驛
고색역:古索驛
고속터미널역:高速터미널驛
고잔역:古棧驛
고진역:古陳驛
고촌역:古村驛
고촌역:高忖驛
곡산역:谷山驛
곤제역:昆弟驛
곤지암역:昆池岩驛
공단역:工團驛
공덕역:孔德驛
공릉역:孔陵驛
공항역:控抗驛
공항역:空港驛
과천역:果川驛
관악역:冠岳驛
광나루역:廣나루驛
광명역:光明驛
광명사거리역:光明四거리驛
광안역:廣安驛
광운대역:光云大驛
광주송정역:光州松汀驛
광화문역:光化門驛
광흥창역:廣興倉驛
괘법르네시떼역:掛法르네시떼驛
괴정역:槐亭驛
교대역:敎大驛
구남역:龜南驛
구래역:九來驛
구로역:九老驛
구로디지털단지역:九老디지털團地驛
구룡역:九龍驛
구리역:九里驛
구명역:龜明驛
구산역:龜山驛
구서역:久瑞驛
구성역:駒城驛
구암역:九岩驛
구암역:鳩岩驛
구의역:九宜驛
구일역:九一驛
구파발역:舊把撥驛
구포역:龜浦驛
국수역:菊秀驛
국제금융센터부산은행역:釜山國際金融센터釜山銀行驛
국제업무지구역:國際業務地區驛
군자역:君子驛
군포역:軍浦驛
굴봉산역:屈峰山驛
굴포천역:掘浦川驛
