# https://www.data.go.kr/data/15013205/standard.do

역사명	한자역사명
매탄권선역	梅灘勸善
수원시청역	水原市廳
매교역	梅橋
신내역	新 內
갈매역	葛 梅
별내역	別 內
퇴계원역	退溪院
사릉역	思 陵
금곡역	金 谷
평내호평역	坪內好坪
천마산역	天摩山
마석역	磨 石
대성리역	大成里
청평역	淸 平
상천역	上 泉
가평역	加 平
굴봉산역	屈峰山
백양리역	白楊里
강촌역	江 村
김유정역	金裕貞
남춘천역	南春川
춘천역	春 川
판교역	板橋
삼동역	三洞
경기광주역	京畿廣州
초월역	草月
곤지암역	昆池岩
신둔도예촌역	新屯陶藝村
수원역	水 原
세류역	細 柳
병점역	餠 店
서동탄역	西東灘
세마역	洗 馬
오산대역	烏山大
오산역	烏 山
진위역	振 威
송탄역	松 炭
지제역	芝 制
서정리역	西井里
평택역	平 澤
구일역	九 一
개봉역	開 峯
오류동역	梧柳洞
온수역	溫 水
역곡역	驛 谷
소사역	素 砂
부천역	富 川
중동역	中 洞
송내역	松 內
부개역	富 開
부평역	富 平
백운역	白 雲
동암역	銅 岩
간석역	間 石
주안역	朱 安
도화역	道 禾
명학역	鳴 鶴
제물포역	濟物浦
도원역	桃 源
동인천역	東仁川
인천역	仁 川
선바위역	
경마공원역	競 馬公 園
대공원역	大公園
과천역	果 川
정부과천청사역	政府果川廳舍
이천역	利川
박촌	朴村
부발역	夫鉢
세종대왕릉역	世宗大王陵
여주역	驪州
성환역	成 歡
직산역	稷 山
두정역	斗 井
천안역	天 安
봉명역	鳳鳴
쌍용(나사렛대)역	雙龍(拿撒勒大)
아산역	牙 山
배방역	排 芳
온양온천역	溫陽溫泉
신창(순천향대)역	신 창
부전역	釜 田
거제해맞이역	巨堤해맞이
거제역	巨 堤
교대역	敎 大
동래역	東 萊
안락역	安 樂
재송역	裁 松
센텀역	-
벡스코역	-
신해운대역	新海雲臺
송정역	松 亭
오시리아역	-
기장역	機 張
일광역	日 光
광명역	光 明
석수역	石 水
관악역	冠 岳
안양역	安 養
운정역	雲 井
금릉역	金 陵
금촌역	金 村
귤현	橘峴
월롱역	月 籠
파주역	坡 州
문산역	汶 山
남영역	南 營
용산역	龍 山
지축역	紙 杻
안산역	安 山
삼송역	三 松
원흥역	元興
원당역	元 堂
화정역	花 井
대곡역	大 谷
백석역	白 石
마두역	馬 頭
정발산역	鼎鉢山
주엽역	注 葉
대화역	大 化
이촌역	二 村
서빙고역	西氷庫
한남역	漢 南
노량진역	鷺梁津
대방역	大 方
신길역	新 吉
영등포역	永登浦
신도림역	新道林
구로역	九 老
가산디지털단지역	加山디지털團 地
독산역	禿 山
금천구청역	衿川區廳
금정역	衿 井
군포역	軍 浦
당정역	當井
의왕역	義 王
성균관대역	成 均 館 大
화서역	華 西
수원(분당)역	水 原
인덕원역	仁德院
평촌역	坪 村
범계역	凡溪
산본역	山 本
수리산역	修理山
대야미역	大夜味
반월역	半 月
상록수역	常綠樹
중앙역	中 央
한대앞역	漢大앞
고잔역	古 棧
초지역	草 芝
신길온천역	新 吉溫 泉
정왕역	正 往
오이도역	烏耳島
고색	古索
오목천	梧木川
어천	漁川
야목	野牧
사리	四理
한대앞	漢大앞
중앙	中央
고잔	古棧
초지	草芝
안산	安山
신길온천	新吉溫泉
정왕	正往(韓國産業技術大)
오이도	烏耳島
달월역	達月
월곶역	月串
소래포구역	蘇來浦口
인천논현역	仁川論峴
계양	桂陽
호구포역	虎口浦
남동인더스파크역	
원인재역	源仁齋
연수역	延壽
송도역	松島
인하대역	仁荷大
숭의역	崇 義
신포역	新 浦
옥수역	玉 水
응봉역	鷹 峰
인천	仁川
각산	角山
안심	安心
문양	汶陽
다사	多斯
대실	없음
강창	江倉
계명대	啓明大
성서산업단지	城西工團
이곡	梨谷
용산	龍山
죽전	竹田
감삼	甘三
두류	頭流
내당	內唐
반고개	없음
청라언덕	靑蘿坡
반월당	半月堂
경대병원	慶大病院
대구은행	大邱銀行
범어	泛魚
수성구청	壽城區廳
만촌	晩村
담티	(壽城大.大倫)
연호	蓮湖
대공원	大公園
고산	孤山
신매	新梅
사월	沙月
탑석	塔石
지식정보단지	知識情報團地
인천대입구	仁川大入口
센트럴파크	-
국제업무지구	國際業務地區
검단오류	黔丹梧柳
왕길	旺吉
검단사거리	黔丹十字路口
마전	麻田
완정	完井
독정	篤 亭
검암	黔岩
검바위	黔石
아시아드경기장	亞運會賽場
서구청	西區廳
가정(루원시티)	佳亭
가정중앙시장	佳亭中央市場
석남(거북시장)	石南
영대병원	嶺大病院
교대	敎大
명덕	明德
반월당	半月堂
중앙로	中央路
대구	大邱驛
칠성시장	七星市場
양촌역	陽忖
구래역	九來
마산역	麻山
장기역	場基
운양역	雲陽
걸포북변역	傑浦北邊
사우(김포시청)역	沙隅(金浦市廳)
서부여성회관	西部女性會館
인천가좌	仁川佳佐
가재울	伽岾溪
주안국가산단	朱安國家産團
주안	朱安
시민공원	市民公園
석바위시장	石岩市場
인천시청	仁川市廳
석천사거리	石泉十字路口
모래내시장	沙丘市場
만수	万壽
남동구청	南洞區廳
인천대공원	仁川大公園
운연	云宴
발곡	鉢谷
회룡	回龍
범골	-
경전철의정부	輕電鐵議政府
의정부시청	議政府市廳
흥선	興宣
의정부중앙	議政府中央
동오	東梧
새말	-
경기도청북부청사	京畿道廳北部廳舍
효자	孝子
곤제	昆弟
어룡	魚龍
송산	松山
탑석	塔石
미사역	渼沙
하남풍산역	河南豊山
사상역	沙上
괘법르네시떼역	掛法
서부산유통지구역	西釜山 流通地區
공항역	控抗
덕두역	德斗
등구역	登龜
대저역	大猪
평강역	平江
대사역	大沙
불암역	佛岩
지내역	池內
김해대학역	金海大學
인제대역	仁濟大
김해시청역	金海市廳
부원역	府院
봉황역	鳳凰
수로왕릉역	首露王陵
박물관역	博物館
연지공원역	蓮池公園
장신대역	長神大
가야대역	加耶大
신천	新川
동대구	東大邱驛
동구청	東區廳
아양교	峨洋橋
동촌	東村
해안	解顔
방촌	芳村
용계	龍溪
율하	栗下
신기	新基
반야월	半夜月
설화명곡	舌化椧谷
화원	花園
대곡	大谷
진천	辰泉
월배	月背
상인	上仁
월촌	月村
송현	松峴
성당못	聖堂못
대명	大明
안지랑	없음
현충로	顯忠路
풍무역	豊舞
고촌역	高忖
김포공항역	金浦空港
판암	板岩
신흥	新興
대동	大洞
대전	大田
중앙로	中央路
중구청	中區廳
서대전네거리	西大田네거리
오룡	五龍
용문	龍汶
탄방	炭坊
시청	市廳
정부청사	政府廳舍
갈마	葛馬
월평	月坪
갑천	甲川
유성온천	儒城溫泉
구암	九岩
현충원	顯忠院
월드컵경기장	월드컵競技場
노은	老隱
지족	智足
반석	盤石
중동역	中洞
해운대역	海雲臺
동백역	冬柏
시립미술관역	市立美術館
센텀시티역	Centum City
민락역	民樂
수영역	水營
광안역	廣安
금련산역	金蓮山
남천역	南川
경성대부경대역	慶星大釜慶大
대연역	大淵
못골역	池谷
지게골역	支架谷
문현역	門峴
국제금융센터부산은행역	釜山國際金融中心·釜山銀行
전포역	田浦
서면역(2호선)	西面
부암역	釜岩
가야역	伽倻
동의대역	東義大
개금역	開琴
냉정역	冷井
주례역	周禮
감전역	甘田
사상역	沙上
덕포역	德浦
모덕역	毛德
모라역	毛羅
구남역	龜南
구명역	龜明
덕천역(2호선)	德川
수정역	水亭
화명역	華明
율리역	栗里
동원역	東院
금곡역	金谷
호포역	湖浦
증산역	甑山
부산대양산캠퍼스역	釜山大梁山Campus
남양산역	南梁山
양산역	梁山
기흥역	器興
강남대역	江南大
지석역	支石
어정역	御井
동백역	東栢
초당역	草堂
삼가역	三街
시청-용인대역	龍仁市廳·龍仁大
명지대역	明知大
김량장역	金良場
운동장-송담대역	運動場·松潭大
고진역	古陳
보평역	洑坪
둔전역	屯田
전대-에버랜드역	前垈·에버랜드
동대문	東大門
신설동	新設洞
제기동	祭基洞
청량리	淸凉里
동묘앞	東廟
까치산	喜鵲山
시청	市廳
을지로입구	乙支路入口
을지로3가	乙支路三街
을지로4가	乙支路四街
잠실새내	蠶室-驛
종합운동장	綜合運動場
삼성	三成
선릉	宣陵
역삼	驛三
강남	江南
교대	敎大
서초	瑞草
방배	方背
사당	舍堂
낙성대	落星垈
서울대입구	首爾大入口
봉천	奉天
신림	新林
신대방	新大方
구로디지털단지	九老數碼團地
대림	大林
신도림	新道林
문래	文來
영등포구청	永登浦區廳
당산	堂山
합정	合井
홍대입구	弘大入口
신촌	新村
이대	梨花女子大學
아현	阿峴
충정로	忠正路
용답	龍踏
신답	新踏
신설동	新設洞
도림천	道林川
양천구청	陽川區廳
신정네거리	新亭十字路口
용두	龍頭
지축	紙木丑
구파발	舊把撥
연신내	延臣川
불광	佛光
녹번	碌磻
홍제	弘濟
무악재	毋岳齋
독립문	獨立門
경복궁	景福宮
안국	安國
