铬	鉻
骆	駱
乱	亂
兰	蘭
拦	攔
斓	斕
栏	欄
栾	欒
滦	灤
澜	瀾
烂	爛
谰	讕
銮	鑾
镧	鑭
阑	闌
鸾	鸞
岚	嵐
揽	攬
榄	欖
滥	濫
篮	籃
缆	纜
蓝	藍
褴	襤
览	覽
蜡	蠟
腊	臘
琅	瑯
锒	鋃
阆	閬
崃	崍
徕	徠
来	來
涞	淶
睐	睞
莱	萊
铼	錸
梁	樑
凉	涼
粮	糧
两	兩
俩	倆
谅	諒
辆	輛
魉	魎
丽	麗
侣	侶
俪	儷
励	勵
厉	厲
吕	呂
庐	廬
榈	櫚
滤	濾
疠	癘
砺	礪
粝	糲
胪	臚
虑	慮
蛎	蠣
铝	鋁
闾	閭
驴	驢
骊	驪
鲡	鱺
历	歷
历	曆
呖	嚦
坜	壢
枥	櫪
栎	櫟
沥	瀝
砾	礫
苈	藶
跞	躒
轹	轢
郦	酈
镉	鎘
雳	靂
怜	憐
娈	孌
孪	孿
恋	戀
挛	攣
撵	攆
涟	漣
炼	煉
琏	璉
练	練
联	聯
脔	臠
莲	蓮
裢	褳
辇	輦
连	連
链	鍊
链	鏈
鲢	鰱
锊	鋝
奁	奩
帘	簾
敛	斂
殓	殮
潋	瀲
莶	薟
蔹	蘞
镰	鐮
猎	獵
岭	嶺
棂	欞
棂	櫺
灵	靈
铃	鈴
领	領
龄	齡
隶	隸
礼	禮
鳢	鱧
劳	勞
卢	盧
卤	鹵
卤	滷
唠	嘮
噜	嚕
垆	壚
芦	蘆
崂	嶗
捞	撈
掳	擄
撸	擼
栌	櫨
橹	櫓
橹	艣
氇	氌
泸	瀘
涝	澇
炉	爐
痨	癆
舻	艫
虏	虜
轳	轤
辂	輅
铑	銠
铹	鐒
颅	顱
鲁	魯
鲈	鱸
鸬	鸕
鹭	鷺
录	錄
渌	淥
禄	祿
绿	綠
辘	轆
论	論
咙	嚨
垄	壟
拢	攏
栊	櫳
泷	瀧
珑	瓏
砻	礱
笼	籠
聋	聾
胧	朧
茏	蘢
陇	隴
濑	瀨
籁	籟
诔	誄
赂	賂
赉	賚
赖	賴
镭	鐳
了	暸
了	瞭
疗	療
缭	繚
辽	遼
镣	鐐
闹	鬧
鹩	鷯
胧	矓
龙	龍
偻	僂
喽	嘍
垒	壘
娄	婁
屡	屢
嵝	嶁
搂	摟
楼	樓
泪	淚
瘘	瘺
篓	簍
缕	縷
耧	耬
蒌	蔞
蝼	螻
褛	褸
镂	鏤
髅	髏
累	纍
溜	霤
刘	劉
浏	瀏
类	類
绺	綹
缧	縲
谬	謬
铆	鉚
镏	鎦
馏	餾
骝	騮
鹨	鷚
戮	僇
陆	陸
仑	侖
仑	崙
伦	倫
囵	圇
抡	掄
沦	淪
纶	綸
轮	輪
栗	慄
仂	扐
鳓	鰳
凛	凜
廪	廩
檩	懍
檩	檁
菱	蔆
棱	稜
绫	綾
鲮	鯪
厘	釐
离	離
狸	貍
里	裡
里	裏
里	浬
漓	灕
犁	犛
莅	蒞
篱	籬
缡	縭
蓠	蘺
逦	邐
锂	鋰
鲤	鯉
鹂	鸝
磷	燐
蔺	藺
躏	躪
辚	轔
邻	鄰
鳞	鱗
麻	痳
临	臨
麻	痲
麽	麼
么	麽
吗	嗎
唛	嘜
妈	媽
嬷	嬤
杩	榪
玛	瑪
码	碼
蚂	螞
马	馬
镆	鏌
馍	饃
挽	輓
万	萬
峦	巒
弯	彎
懑	懣
湾	灣
满	滿
瞒	瞞
缦	縵
蛮	蠻
谩	謾
镘	鏝
颟	顢
馒	饅
鳗	鰻
袜	襪
网	網
辋	輞
买	買
劢	勱
卖	賣
迈	邁
骂	罵
脉	脈
蓦	驀
麦	麥
锰	錳
幂	冪
觅	覓
面	麵
绵	綿
缅	緬
蔑	衊
灭	滅
铭	銘
鸣	鳴
谋	謀
谟	謨
馍	糢
钼	鉬
鹜	鶩
殁	歿
没	沒
蒙	濛
蒙	懞
蒙	矇
梦	夢
猫	貓
庙	廟
缈	緲
锚	錨
无	無
亩	畝
务	務
呒	嘸
妩	嫵
庑	廡
怃	憮
抚	撫
缪	繆
芜	蕪
诬	誣
贸	貿
雾	霧
骛	騖
鹉	鵡
们	們
擦	抆
扪	捫
纹	紋
钔	鍆
门	門
问	問
闻	聞
阌	閿
霉	黴
弥	彌
弥	瀰
猕	獼
眯	瞇
芈	羋
谜	謎
镁	鎂
悯	憫
渑	澠
焖	燜
缗	緡
闵	閔
闷	悶
闽	閩
黾	黽
谧	謐
朴	樸
扑	撲
剥	剝
缚	縛
钋	釙
铂	鉑
镤	鏷
飑	颮
驳	駁
板	闆
盘	盤
盘	槃
矾	礬
绊	絆
蹒	蹣
颁	頒
饭	飯
发	發
发	髮
拨	撥
泼	潑
钵	缽
钹	鈸
饽	餑
鹁	鵓
碰	踫
仿	倣
旁	徬
帮	幫
庞	龐
纺	紡
绑	綁
访	訪
谤	謗
钫	鈁
镑	鎊
鲂	魴
背	揹
赔	賠
辈	輩
烦	煩
罚	罰
阀	閥
泛	氾
泛	汎
范	範
钒	釩
珐	琺
蘖	蘗
辟	闢
变	變
拚	抃
笾	籩
辩	辯
辫	辮
边	邊
别	別
别	彆
瘪	癟
鳖	鱉
并	並
并	併
饼	餅
骈	駢
宝	寶
报	報
补	補
谱	譜
辅	輔
镨	鐠
鸨	鴇
卜	蔔
仆	僕
复	複
辐	輻
鳆	鰒
凤	鳳
缝	縫
锋	鋒
夫	伕
凫	鳧
复	復
妇	婦
肤	膚
讣	訃
负	負
赋	賦
赙	賻
驸	駙
鲋	鮒
麸	麩
偾	僨
喷	噴
坟	墳
奋	奮
愤	憤
粪	糞
纷	紛
贲	賁
锛	錛
佛	彿
绂	紱
绋	紼
绷	繃
